full_name,a,e,g,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,h,diameter,extent,albedo,rot_per,gm,bv,ub,ir,spec_b,spec_t,neo,pha,moid
 11042 Ernstweber (1989 VD1),2.344611616,0.066230461,,7.534047932,101.3272049,350.9920787,2.189326909,2.499896323,3.590166339,10771.0,0.0,1190.0,14.9,2.69,,0.322,,,,,,,,N,N,1.20643
 11043 Pepping (1989 YX6),2.381283966,0.206895907,,5.181730705,112.8941254,326.038585,1.88860606,2.873961873,3.674726184,15203.0,0.0,2158.0,14.1,3.944,,0.285,,,,,,,,N,N,0.906768
 11044 (1990 DV),2.729618971,0.216636369,,7.074853118,247.2923175,272.5355529,2.138284227,3.320953714,4.509841139,10799.0,0.0,1772.0,13.3,9.996,,0.093,,,,,,,,N,N,1.16146
 11045 (1990 HH1),2.656899635,0.173765815,,12.78454642,161.4970948,113.9916898,2.195221305,3.118577965,4.3308279,10545.0,0.0,1491.0,13.7,4.932,,0.289,,,,,,,,N,N,1.21445
 11046 (1990 OE4),2.776233435,0.301845145,,7.391445829,210.3425832,114.6263138,1.938240852,3.614226018,4.625856675,23917.0,0.0,1499.0,13.7,5.192,,0.261,,,,,,,,N,N,0.940018
 11047 (1990 QL1),3.128338698,0.228491968,,10.11141016,161.8104553,241.9327912,2.413538432,3.843138964,5.533231654,10424.0,0.0,2249.0,13.1,8.447,,0.171,,,,,,,,N,N,1.4408
 11048 (1990 QZ5),2.858838847,0.156123723,,12.950611,159.4675953,246.7556078,2.412506284,3.30517141,4.833844935,13787.0,0.0,1990.0,12.7,14.865,,0.073,5.983,,,,,,,N,N,1.4536
 11049 (1990 RK2),2.12976993,0.068972867,,2.361991032,176.743558,162.7202655,1.982873592,2.276666268,3.108187709,10395.0,0.0,1425.0,15.0,4.718,,0.095,,,,,,,,N,N,0.973005
 11050 Messiaen (1990 TE7),2.974270535,0.094387757,,9.09316633,211.0584094,163.3809845,2.69353581,3.25500526,5.129545723,23623.0,0.0,1116.0,13.7,6.075,,0.174,,,,,,,,N,N,1.69563
 11051 Racine (1990 VH12),3.031128156,0.064855242,,9.429456097,199.4476778,166.7057783,2.834543607,3.227712706,5.27733484,14452.0,0.0,1399.0,13.3,7.126,,0.166,,,,,,,,N,N,1.83358
 11052 (1990 WM),2.999309043,0.080497662,,12.28297609,98.06838349,166.2758379,2.757871676,3.24074641,5.194455471,13620.0,0.0,1770.0,12.4,11.173,,0.17,5.06904,,,,,,,N,N,1.74293
 11053 (1991 CQ6),2.887466012,0.083813379,,1.851322795,184.9299047,196.8413048,2.645457729,3.129474295,4.906632415,18002.0,0.0,2151.0,12.5,8.758,,0.21,,,,,,,,N,N,1.64744
 11054 (1991 FA),1.978552725,0.447541929,,3.07692724,339.2111561,92.11283353,1.093067421,2.864038028,2.783105337,29741.0,0.0,1242.0,17.0,,,,2.57223,,,,,,,Y,N,0.121081
 11055 Honduras (1991 GT2),2.417849409,0.228993197,,11.37350401,199.5030944,79.80327937,1.864178342,2.971520475,3.759690322,15601.0,0.0,2026.0,13.4,8.39,,0.1,,,,,,,,N,N,0.888348
 11056 Volland (1991 LE2),2.452136089,0.160127943,,7.357264167,90.19553273,269.9898881,2.059480581,2.844791598,3.839945459,11299.0,0.0,1516.0,14.0,8.998,,0.058,,,,,,,,N,N,1.07124
 11057 (1991 NL),2.554711345,0.197908673,,15.15426174,259.8212237,54.07842809,2.049111813,3.060310878,4.083390906,13054.0,0.0,1229.0,13.6,5.402,,0.264,,,,,,,,N,N,1.07087
 11058 (1991 PN10),1.954013789,0.069986639,,22.49794421,167.1040943,97.16852592,1.817258931,2.090768646,2.731490147,10016.0,0.0,1465.0,14.4,1.861,,1.0,6.517,,,,,,,N,N,0.890137
 11059 Nulliusinverba (1991 RS),2.571945903,0.19937456,,14.38961729,173.5454584,137.0646094,2.05916532,3.084726487,4.12478149,23625.0,0.0,1401.0,13.9,4.865,,0.247,,,,,,,,N,N,1.06886
 11060 (1991 RA13),2.719636437,0.15868797,,1.743427707,212.9439493,62.0338361,2.288062853,3.151210022,4.485124253,9996.0,0.0,1832.0,13.9,,,,,,,,,,,N,N,1.27185
 11061 Lagerlof (1991 RS40),2.779505119,0.080836571,,2.099636359,30.75183553,328.0855489,2.554819456,3.004190782,4.634036174,9860.0,0.0,1433.0,13.8,,,,,,,,,,,N,N,1.55039
 11062 (1991 SN),3.026116162,0.079462894,,10.98049336,107.1066237,203.2046661,2.785652215,3.26658011,5.26425108,10542.0,0.0,1777.0,12.5,9.635,,0.229,,,,,,,,N,N,1.77337
 11063 Poynting (1991 VC6),2.660141347,0.251203935,,8.606994103,101.7882885,204.92365,1.991903373,3.328379322,4.338756454,11961.0,0.0,1945.0,13.0,11.839,,0.073,7.926,,,,,,,N,N,0.979689
 11064 Dogen (1991 WB),2.749178411,0.328426377,,35.97702953,78.99149174,315.060674,1.846275707,3.652081116,4.558401655,15168.0,0.0,2204.0,12.8,9.049,,0.181,4.163,,,,,,,N,N,0.943832
 11065 (1991 XE2),2.785461516,0.168723096,,9.932257174,65.89166968,295.1158779,2.315489825,3.255433206,4.648940053,25501.0,0.0,2068.0,12.3,11.782,,0.184,8.0,,,,,,,N,N,1.33363
 11066 Sigurd (1992 CC1),1.391579377,0.375274131,,36.87786937,349.2357428,22.00373373,0.869355635,1.913803118,1.641610714,15894.0,0.0,1274.0,15.2,2.778,,0.19,8.4958,,,,,K,,Y,N,0.118482
 11067 Greenancy (1992 DC3),2.973439627,0.088073794,,2.45379409,158.6530673,231.3483248,2.711557519,3.235321735,5.127396347,10392.0,0.0,1691.0,13.2,6.287,,0.257,,,,,,,,N,N,1.71673
 11068 (1992 EA),2.204393498,0.112733403,,1.072884578,337.9787789,261.167485,1.955884717,2.452902279,3.272968944,10062.0,0.0,2059.0,14.2,,,,,,,,,,,N,N,0.943803
 11069 Bellqvist (1992 EV4),3.033425785,0.077108494,,9.747869775,138.2592495,199.6262941,2.799522891,3.267328679,5.283336393,9932.0,0.0,1690.0,13.0,9.065,,0.163,,,,,,,,N,N,1.79062
 11070 (1992 EV9),3.245730454,0.181617584,,2.01862071,132.8815384,184.6598743,2.656248729,3.835212178,5.847589503,9821.0,0.0,1356.0,13.7,9.639,,0.069,,,,,,,,N,N,1.64207
